"id";"question";"answer"
"a1";"cara yang digunakan program komputer untuk meminta layanan dari sistem operasi adalah dengan menggunakan";"System Call"
"a2";"Kompleksitas waktu terburuk dari algoritma pencarian biner?";"O(log n)"
"a3";"Hasil konversi bilangan desimal 10.75 ke dalam format binary floating-point single-precision IEEE 754 adalah ?";"0 10000010 01011000000000000000000"
"a4";"Alamat IP terakhir yang dapat digunakan untuk host dalam subnet 172.16.0.0/23 adalah";"172.16.1.254"
"a5";"Apa sistem perangkat lunak yang dirancang untuk mengintegrasikan dan mengelola berbagai proses bisnis dalam sebuah perusahaan ataupun organisasi?";"ERP (Enterprise Resource Planning)"
"b1";"Tentukan karakter uji dari kode ISBN berikut ini 0-7475-3848- x!";"8"
"b2";"Fitur Microsoft Outlook yang dapat menjadwalkan pengiriman email secara otomatis pada waktu yang ditentukan disebut…";"Delay Delivery"
"b3";"<img src=""static/soalGambar/soalb3amplop.png"" />";"Pseudocode ini benar-benar membalik urutan elemen dalam array A."
"b4";"Proses dalam sistem operasi ketika CPU berpindah dari satu proses atau thread ke proses atau thread lain. Proses ini mencakup penyimpanan informasi yang diperlukan untuk mengembalikan proses lama ke statusnya sebelumnya dan memuat informasi untuk proses baru yang akan dieksekusi disebut dengan ?";"Context switch"
"b5";"Serangan di mana penyerang memanipulasi protokol BGP (Border Gateway Protocol) untuk mengarahkan lalu lintas internet melalui jalur yang salah dinamakan?";"BGP Hijacking"
"c1";"Dalam sistem bilangan heksadesimal, apa hasil dari operasi A3 + 5C?";"B9"
"c2";"Alamat IP terakhir yang dapat digunakan untuk host dalam subnet 172.16.0.0/23 adalah";"172.16.1.254"
"c3";"Teknologi penyimpanan data yang menggabungkan beberapa hard disk menjadi satu untuk meningkatkan kinerja dan mengamankan data adalah….";"RAID (Redundant Array of Independent Disks)"
"c4";"Maxterm dari fungsi boolean f(x,y,z) = x(y’z’ + yz) adalah…";"∏(0, 1, 2, 3, 5, 6)"
"c5";"Apa formula/fungsi pada Microsoft Excel yang digunakan untuk mencari nilai tertentu dalam kolom pertama sebuah tabel (range) dan mengembalikan nilai dari kolom lain di baris yang sama?";"VLOOKUP"
"d1";"<img src=""static/soalGambar/soald1amplop.png"" />";"Hasil akhir dari variabel count adalah 3."
"d2";"Dalam sistem bilangan biner hasil dari operasi AND antara 1010 dan 1100 adalah…";"1000"
"d3";"Bit awal pada kelas C pada IPv4 adalah";"110"
"d4";"Platform elektronik open-source yang digunakan untuk membuat proyek interaktif dan dapat membaca input serta menghasilkan sinyal output adalah..";"Arduino"
"d5";"dalam konteks hak akses file di linux, hak akses rwx diwakili oleh angka berapa?";"7"